state,year,ammunition_regulations,assault_weapons_regulations,background_checks,buyer_regulations,child_access_prevention,concealed_carry_permitting,dealer_regulations,domestic_violence,gun_trafficking,immunity,no_stand_your_ground,possession_regulations,preemption,prohibitions_against_high_risk_gun_owners,lawtotal
Oregon,1992,0,0,0,2,0,4,3,0,0,1,1,1,0,4,16
Pennsylvania,1992,0,0,0,3,0,3,7,1,0,1,1,1,0,0,17
Rhode Island,1992,2,0,9,8,0,3,8,0,0,1,1,2,0,5,39
South Carolina,1992,0,0,0,2,0,6,4,0,0,1,1,6,0,1,21
South Dakota,1992,0,0,0,0,0,2,0,0,0,1,1,1,0,1,6
Tennessee,1992,0,0,0,2,0,6,1,0,0,1,1,7,0,0,18
Texas,1992,0,0,0,1,0,5,0,0,0,1,1,5,0,0,13
Utah,1992,0,0,0,0,0,6,0,0,0,1,1,5,0,0,13
Vermont,1992,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
Virginia,1992,0,0,0,1,0,4,1,0,2,1,1,1,0,1,12
Washington,1992,0,0,0,1,0,2,4,0,0,0,1,0,0,3,11
West Virginia,1992,0,0,0,0,0,2,1,0,0,1,1,0,0,6,11
Wisconsin,1992,0,0,0,2,2,6,0,0,0,1,1,2,3,1,18
Wyoming,1992,0,0,0,0,0,2,0,0,0,1,1,0,3,0,7
Alabama,1993,0,0,0,1,0,3,7,1,0,1,1,0,1,1,16
Alaska,1993,0,0,0,1,0,6,0,0,0,1,1,1,0,1,11
Arizona,1993,0,0,0,0,0,6,0,0,0,1,1,2,0,3,13
Arkansas,1993,0,0,0,0,0,6,0,1,0,0,1,3,0,3,14
California,1993,0,4,11,5,4,5,12,2,0,0,1,4,2,7,57
Colorado,1993,0,0,0,0,0,2,1,0,0,1,1,1,3,0,9
Connecticut,1993,0,3,0,1,4,4,11,0,2,1,1,4,3,0,34
Delaware,1993,0,0,0,1,0,3,3,1,0,0,1,0,0,5,14
Florida,1993,0,0,0,0,3,3,1,0,2,1,1,7,0,1,19
Georgia,1993,0,0,0,1,0,2,2,0,0,1,1,4,3,1,15
Hawaii,1993,1,0,0,9,5,2,6,8,0,1,1,3,3,7,46
Idaho,1993,0,0,0,0,0,2,0,0,0,0,1,0,2,0,5
Illinois,1993,3,0,7,5,0,6,5,2,0,1,1,7,3,4,44
Indiana,1993,0,0,0,0,0,3,1,0,0,1,1,1,3,0,10
Iowa,1993,2,0,3,4,2,3,0,0,0,1,1,1,0,1,18
Kansas,1993,0,0,0,0,0,6,0,0,0,1,1,1,3,1,13
Kentucky,1993,0,0,0,0,0,6,0,0,0,0,1,0,0,1,8
Louisiana,1993,0,0,0,1,0,6,0,0,0,1,1,3,0,0,12
Maine,1993,0,0,0,0,0,2,2,0,0,1,1,1,0,2,9
Maryland,1993,0,0,0,1,6,5,4,1,0,1,1,2,0,3,24
Massachusetts,1993,5,0,6,7,0,4,12,1,5,1,1,6,3,5,56
Michigan,1993,0,0,3,6,0,6,6,0,0,1,1,1,0,1,25
Minnesota,1993,0,0,0,1,4,6,2,0,0,1,1,3,0,4,22
Mississippi,1993,0,0,0,0,0,3,0,0,0,1,1,2,0,1,8
Missouri,1993,0,0,3,3,0,6,0,0,0,1,1,1,0,1,16
Montana,1993,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3
Nebraska,1993,0,0,2,3,0,6,0,0,1,1,1,0,3,1,18
Nevada,1993,0,0,0,0,2,3,0,0,0,0,1,1,0,1,8
New Hampshire,1993,0,0,0,0,0,1,1,0,0,1,1,0,3,0,7
New Jersey,1993,0,5,5,7,4,6,8,1,0,1,1,6,3,4,51
New Mexico,1993,0,0,0,0,0,6,0,0,0,1,1,1,0,1,10
New York,1993,1,0,0,5,0,6,4,2,0,1,1,5,3,7,35
North Carolina,1993,0,0,0,2,4,6,3,0,0,1,1,3,3,0,23
North Dakota,1993,0,0,0,0,0,3,0,0,2,1,1,2,0,4,13
Ohio,1993,0,0,0,3,0,6,0,0,2,1,1,1,3,2,19
Oklahoma,1993,0,0,0,1,0,6,0,1,0,1,1,1,0,1,12
Oregon,1993,0,0,0,2,0,4,3,0,0,1,1,1,0,4,16
Pennsylvania,1993,0,0,0,3,0,3,7,1,0,1,1,1,0,0,17
Rhode Island,1993,2,0,9,8,0,3,8,0,0,1,1,2,0,5,39
South Carolina,1993,0,0,0,2,0,6,4,0,0,1,1,6,0,1,21
South Dakota,1993,0,0,0,0,0,2,0,0,0,1,1,1,0,1,6
Tennessee,1993,0,0,0,2,0,6,1,0,0,1,1,7,0,0,18
Texas,1993,0,0,0,1,0,5,0,0,0,0,1,5,0,0,12
Utah,1993,0,0,0,0,0,6,0,0,0,1,1,5,0,0,13
Vermont,1993,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
Virginia,1993,0,0,0,2,0,4,1,0,2,1,1,1,0,1,13
Washington,1993,0,0,0,1,0,2,4,0,0,0,1,1,0,3,12
West Virginia,1993,0,0,0,0,0,2,1,0,0,1,1,0,0,6,11
Wisconsin,1993,0,0,0,2,2,6,0,0,0,1,1,2,3,1,18
Wyoming,1993,0,0,0,0,0,2,0,0,0,1,1,0,3,0,7
Alabama,1994,0,0,0,1,0,3,7,1,0,1,1,0,1,1,16
Alaska,1994,0,0,0,1,0,3,0,0,0,1,1,1,0,1,8
Arizona,1994,0,0,0,0,0,4,0,0,0,1,1,1,0,4,11
Arkansas,1994,0,0,0,0,0,6,0,1,0,0,1,3,0,3,14
California,1994,2,4,11,7,4,6,13,3,5,0,1,4,2,7,69
Colorado,1994,0,0,0,0,0,2,1,0,0,1,1,1,3,1,10
Connecticut,1994,0,4,6,2,4,4,11,9,2,1,1,5,3,3,55
Delaware,1994,0,0,0,1,4,3,3,1,2,0,1,0,0,5,20
Florida,1994,0,0,0,1,3,3,1,0,2,1,1,8,0,1,21
Georgia,1994,0,0,0,0,0,2,2,0,0,1,1,4,3,1,14
Hawaii,1994,1,0,0,14,5,3,8,11,0,1,1,5,3,7,59
Idaho,1994,0,0,0,0,0,3,0,0,0,0,1,0,2,0,6
Illinois,1994,3,0,7,5,0,6,5,2,0,1,1,7,3,4,44
Indiana,1994,0,0,0,0,0,4,1,0,0,1,1,2,0,1,10
Iowa,1994,2,0,3,4,2,3,0,0,0,1,1,1,0,1,18
Kansas,1994,0,0,0,0,0,6,0,1,0,1,1,1,3,1,14
Kentucky,1994,0,0,0,0,0,6,0,0,0,0,1,1,0,1,9
Louisiana,1994,0,0,0,1,0,6,0,0,0,1,1,3,0,0,12
Maine,1994,0,0,0,0,0,2,2,0,0,1,1,1,0,2,9
Maryland,1994,0,1,0,1,6,5,4,1,0,1,1,2,0,3,25
Massachusetts,1994,5,0,6,7,0,4,12,12,5,1,1,6,3,5,67
Michigan,1994,0,0,3,6,0,6,6,0,0,1,1,1,0,1,25
Minnesota,1994,0,0,0,1,4,6,2,0,0,1,1,3,0,5,23
Mississippi,1994,0,0,0,0,0,3,0,0,0,1,1,4,0,1,10
Missouri,1994,0,0,3,3,0,6,0,0,0,1,1,1,0,1,16
Montana,1994,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3
Nebraska,1994,0,0,2,3,0,6,0,0,1,1,1,3,3,1,21
Nevada,1994,0,0,0,0,2,3,0,0,0,0,1,1,0,1,8
New Hampshire,1994,0,0,0,0,0,1,1,0,0,1,1,0,3,0,7
New Jersey,1994,0,5,5,7,4,6,8,1,0,1,1,6,3,4,51
New Mexico,1994,0,0,0,0,0,6,0,0,0,1,1,1,0,1,10
New York,1994,1,0,0,5,0,6,4,2,0,1,1,5,3,7,35
North Carolina,1994,0,0,0,2,4,6,3,0,0,1,1,3,3,1,24
North Dakota,1994,0,0,0,0,0,3,0,0,2,1,1,2,0,4,13
Ohio,1994,0,0,0,3,0,6,0,1,2,1,1,1,3,2,20
Oklahoma,1994,0,0,0,1,0,6,0,1,0,1,1,2,0,1,13
Oregon,1994,0,0,0,2,0,4,3,0,0,1,1,1,0,4,16
Pennsylvania,1994,0,0,0,3,0,3,7,1,0,1,1,1,0,0,17
Rhode Island,1994,2,0,9,8,0,3,8,0,0,1,1,2,0,5,39
South Carolina,1994,0,0,0,2,0,6,4,0,0,1,1,6,0,1,21
South Dakota,1994,0,0,0,0,0,2,0,0,0,1,1,1,0,1,6
Tennessee,1994,0,0,3,4,0,3,1,0,0,1,1,5,0,0,18
Texas,1994,0,0,0,1,0,5,0,0,0,0,1,5,0,1,13
Utah,1994,0,0,0,0,0,6,0,0,2,1,0,3,0,3,15
Vermont,1994,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
Virginia,1994,0,0,0,2,0,4,1,0,2,1,1,1,0,3,15
Washington,1994,1,0,0,0,0,4,5,8,0,0,1,2,0,4,25
West Virginia,1994,0,0,0,0,0,2,1,0,0,1,1,1,0,6,12
Wisconsin,1994,0,0,0,2,2,6,0,0,0,1,1,2,3,3,20
Wyoming,1994,0,0,0,0,0,3,0,0,0,1,1,3,3,0,11
Alabama,1995,0,0,0,1,0,3,7,1,0,1,1,0,1,1,16
Alaska,1995,0,0,0,1,0,3,0,0,0,1,1,1,0,1,8
Arizona,1995,0,0,0,0,0,4,0,1,0,1,1,1,0,4,12
Arkansas,1995,0,0,0,0,0,2,0,1,0,0,1,3,0,3,10
California,1995,2,4,11,7,4,6,13,3,5,0,1,4,2,7,69
Colorado,1995,0,0,0,0,0,2,1,1,0,1,1,1,3,1,11
Connecticut,1995,0,4,6,5,4,4,11,9,2,1,1,5,3,3,58
Delaware,1995,0,0,0,1,4,3,3,1,2,0,1,1,0,5,21
Florida,1995,0,0,0,1,3,3,1,0,2,1,1,8,0,1,21
Georgia,1995,0,0,0,0,0,2,2,0,0,0,1,4,0,1,10
Hawaii,1995,1,0,0,15,5,3,8,11,0,1,1,5,3,7,60
Idaho,1995,0,0,0,0,0,3,0,0,0,0,1,0,2,0,6
Illinois,1995,3,0,7,5,0,6,5,7,0,1,1,7,3,4,49
Indiana,1995,0,0,0,0,0,4,1,0,0,1,1,2,0,1,10
Iowa,1995,2,0,3,4,2,3,0,0,0,1,1,2,0,1,19
Kansas,1995,0,0,0,0,0,6,0,1,0,1,1,1,3,1,14
Kentucky,1995,0,0,0,0,0,6,0,0,0,0,1,1,0,1,9
Louisiana,1995,0,0,0,1,0,6,0,0,0,1,1,3,0,0,12
Maine,1995,0,0,0,0,0,2,2,0,0,1,1,1,0,2,9
Maryland,1995,0,1,0,1,6,5,4,1,0,1,1,2,0,3,25
Massachusetts,1995,5,0,6,7,0,4,12,12,5,1,1,6,3,5,67
Michigan,1995,0,0,3,6,0,6,6,0,0,1,1,1,0,1,25
Minnesota,1995,0,0,0,1,4,6,2,5,0,1,1,3,0,6,29
Mississippi,1995,0,0,0,0,0,3,0,0,0,1,1,4,0,1,10
Missouri,1995,0,0,3,3,0,6,0,0,0,1,1,1,0,1,16
Montana,1995,0,0,0,0,0,2,0,1,0,0,1,0,0,0,4
Nebraska,1995,0,0,2,3,0,6,0,0,1,1,1,3,3,1,21
Nevada,1995,0,0,0,0,0,3,0,0,0,0,1,2,0,1,7
New Hampshire,1995,0,0,0,0,0,1,1,0,0,1,1,0,3,0,7
New Jersey,1995,0,5,5,7,4,6,8,1,0,1,1,6,3,4,51
New Mexico,1995,0,0,0,0,0,6,0,0,0,1,1,1,0,1,10
New York,1995,1,0,0,5,0,6,4,2,0,1,1,5,3,7,35
North Carolina,1995,0,0,4,2,4,3,3,0,0,1,1,3,3,1,25
North Dakota,1995,0,0,0,0,0,3,0,0,2,1,1,2,0,4,13
Ohio,1995,0,0,0,3,0,6,0,1,2,1,1,1,3,2,20
Oklahoma,1995,0,0,0,1,0,4,0,1,0,1,1,2,0,1,11
Oregon,1995,0,0,0,2,0,4,3,0,0,1,1,1,0,4,16
Pennsylvania,1995,0,0,0,3,0,3,9,2,0,1,1,1,0,4,24
Rhode Island,1995,2,0,9,8,3,3,8,0,0,1,1,2,0,5,42
South Carolina,1995,0,0,0,2,0,6,3,0,0,1,1,6,0,1,20
South Dakota,1995,0,0,0,0,0,2,0,0,0,1,1,1,0,1,6
Tennessee,1995,0,0,3,4,0,3,1,1,0,1,1,5,0,0,19
Texas,1995,0,0,0,1,4,3,0,0,0,0,1,5,0,1,15
Utah,1995,0,0,0,0,0,4,0,1,2,1,0,3,0,3,14
Vermont,1995,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
Virginia,1995,0,0,0,2,0,3,1,0,2,1,1,1,0,3,14
Washington,1995,1,0,0,0,0,4,5,8,0,0,1,2,0,4,25
West Virginia,1995,0,0,0,0,0,2,1,0,0,1,1,1,0,6,12
Wisconsin,1995,0,0,0,2,2,6,0,0,0,1,1,2,0,3,17
Wyoming,1995,0,0,0,0,0,3,0,0,0,1,1,3,0,0,8
Alabama,1996,0,0,0,1,0,3,7,1,0,1,1,0,1,1,16
Alaska,1996,0,0,0,1,0,3,0,0,0,1,1,1,0,1,8
Arizona,1996,0,0,0,0,0,4,0,1,0,1,1,1,0,4,12
Arkansas,1996,0,0,0,0,0,2,0,1,0,0,1,3,0,3,10
California,1996,2,4,11,7,4,6,13,3,5,0,1,4,2,7,69
Colorado,1996,0,0,0,0,0,2,1,1,0,1,1,1,3,1,11
Connecticut,1996,0,4,6,5,4,4,11,9,2,1,1,5,3,3,58
Delaware,1996,0,0,0,1,4,3,3,1,2,0,1,1,0,5,21
Florida,1996,0,0,0,1,3,3,1,0,2,1,1,8,0,1,21
Georgia,1996,0,0,0,0,0,2,2,0,0,0,1,4,0,1,10
Hawaii,1996,1,0,0,15,5,3,8,11,0,1,1,5,3,7,60
Idaho,1996,0,0,0,0,0,3,0,0,0,0,1,0,2,0,6
Illinois,1996,3,0,7,5,0,6,5,7,0,1,1,7,3,5,50
Indiana,1996,0,0,0,0,0,4,1,1,0,1,1,2,0,1,11
Iowa,1996,2,0,3,4,2,3,0,0,0,1,1,2,0,1,19
Kansas,1996,0,0,0,0,0,6,0,1,0,1,1,1,3,1,14
Kentucky,1996,0,0,0,0,0,3,0,0,0,0,1,1,0,1,6
Louisiana,1996,0,0,0,1,0,4,0,0,0,1,1,3,0,0,10
Maine,1996,0,0,0,0,0,2,2,0,0,1,1,1,0,2,9
Maryland,1996,2,1,6,6,6,5,7,4,0,1,1,3,0,4,46
Massachusetts,1996,5,0,6,7,0,4,12,12,5,1,1,6,3,5,67
Michigan,1996,0,0,3,6,0,6,6,0,0,1,1,1,0,1,25
Minnesota,1996,0,0,0,1,6,6,2,6,0,1,1,3,0,6,32
Mississippi,1996,0,0,0,0,0,3,0,0,0,1,1,4,0,1,10
Missouri,1996,0,0,3,3,0,6,0,0,0,1,1,1,0,1,16
Montana,1996,0,0,0,0,0,2,0,1,0,0,1,0,0,0,4
Nebraska,1996,0,0,2,3,0,6,0,0,1,1,1,3,3,1,21
Nevada,1996,0,0,0,0,0,3,0,0,0,0,1,2,0,1,7
New Hampshire,1996,0,0,0,0,0,1,1,0,0,1,1,0,3,0,7
New Jersey,1996,0,5,5,7,4,6,8,1,0,1,1,6,3,4,51
New Mexico,1996,0,0,0,0,0,6,0,0,0,1,1,1,0,1,10
New York,1996,1,0,0,5,0,6,4,8,0,1,1,5,3,7,41
North Carolina,1996,0,0,4,2,4,3,3,0,0,1,1,3,0,1,22
North Dakota,1996,0,0,0,0,0,3,0,0,2,1,1,2,0,4,13
Ohio,1996,0,0,0,3,0,6,0,1,2,1,1,1,3,2,20
Oklahoma,1996,0,0,0,1,0,4,0,1,0,1,1,2,0,1,11
Oregon,1996,0,0,0,2,0,4,3,0,0,1,1,1,0,4,16
Pennsylvania,1996,0,0,0,3,0,3,9,2,0,1,1,1,0,4,24
Rhode Island,1996,2,0,9,8,3,3,8,0,0,1,1,2,0,5,42
South Carolina,1996,0,0,0,2,0,4,3,0,0,1,1,6,0,1,18
South Dakota,1996,0,0,0,0,0,2,0,0,0,1,1,1,0,1,6
Tennessee,1996,0,0,3,4,0,2,1,1,0,1,1,5,0,0,18
Texas,1996,0,0,0,1,4,3,0,0,0,0,1,5,0,1,15
Utah,1996,0,0,0,0,0,4,0,1,2,1,0,3,0,3,14
Vermont,1996,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
Virginia,1996,0,0,0,2,0,3,1,0,2,1,1,1,0,3,14
Washington,1996,1,0,0,0,0,4,5,7,0,0,1,2,0,4,24
West Virginia,1996,0,0,0,0,0,3,1,0,0,1,1,1,0,6,13
Wisconsin,1996,0,0,0,2,2,6,0,3,0,1,1,2,0,3,20
Wyoming,1996,0,0,0,0,0,3,0,0,0,1,1,3,0,0,8
Alabama,1997,0,0,0,1,0,3,7,1,0,1,1,0,1,1,16
Alaska,1997,0,0,0,1,0,3,0,0,0,1,1,1,0,1,8
Arizona,1997,0,0,0,0,0,4,0,1,0,1,1,1,0,4,12
Arkansas,1997,0,0,0,0,0,3,0,1,0,0,1,3,0,3,11
California,1997,3,4,11,7,4,6,13,3,5,0,1,4,2,7,70
Colorado,1997,0,0,0,0,0,2,1,1,0,1,1,1,3,1,11
Connecticut,1997,0,4,6,5,4,4,11,9,2,1,1,5,3,3,58
Delaware,1997,0,0,0,1,4,3,3,1,2,0,1,1,0,5,21
Florida,1997,0,0,0,1,3,3,1,0,2,1,1,8,0,1,21
Georgia,1997,0,0,0,0,0,3,2,0,0,0,1,4,0,1,11
Hawaii,1997,1,0,0,15,5,3,8,11,0,1,1,5,3,7,60
Idaho,1997,0,0,0,0,0,3,0,0,0,0,1,0,2,0,6
Illinois,1997,3,0,7,5,0,6,5,7,0,1,1,7,3,6,51
Indiana,1997,0,0,0,0,0,4,1,1,0,1,1,2,0,1,11
Iowa,1997,2,0,3,4,2,3,0,0,0,1,1,2,0,1,19
Kansas,1997,0,0,0,0,0,6,0,1,0,1,1,1,3,1,14
Kentucky,1997,0,0,0,0,0,3,0,0,0,0,1,1,0,1,6
Louisiana,1997,0,0,0,1,0,4,0,0,0,1,1,3,0,0,10
Maine,1997,0,0,0,0,0,2,2,1,0,1,1,1,0,2,10
Maryland,1997,2,1,6,6,6,5,7,4,0,1,1,3,0,4,46
Massachusetts,1997,5,0,6,7,0,4,12,12,5,1,1,6,3,5,67
Michigan,1997,0,0,3,6,0,6,6,0,0,1,1,1,0,1,25
Minnesota,1997,0,0,0,1,6,6,2,6,0,1,1,3,0,6,32
Mississippi,1997,0,0,0,0,0,3,0,0,0,1,1,4,0,1,10
Missouri,1997,0,0,3,3,0,6,0,0,0,1,1,1,0,1,16
Montana,1997,0,0,0,0,0,2,0,1,0,0,1,1,0,0,5
Nebraska,1997,0,0,2,3,0,6,0,0,1,1,1,3,3,1,21
Nevada,1997,0,0,0,0,0,3,0,0,0,0,1,2,0,1,7
New Hampshire,1997,0,0,0,0,0,1,1,0,0,1,1,0,3,0,7
New Jersey,1997,0,5,5,7,4,6,8,1,0,1,1,6,3,4,51
New Mexico,1997,0,0,0,0,0,6,0,0,0,1,1,1,0,1,10
New York,1997,1,0,0,5,0,6,4,8,0,1,1,5,3,7,41
North Carolina,1997,0,0,4,2,4,3,1,0,0,1,1,3,0,1,20
North Dakota,1997,0,0,0,0,0,3,0,0,2,1,1,2,0,4,13
Ohio,1997,0,0,0,3,0,6,0,1,2,1,1,1,3,2,20
Oklahoma,1997,0,0,0,1,0,4,0,1,0,1,1,2,0,1,11
Oregon,1997,0,0,0,2,0,4,3,0,0,1,1,1,0,4,16
Pennsylvania,1997,0,0,6,3,0,3,10,2,0,1,1,1,0,4,31
Rhode Island,1997,2,0,9,9,3,3,8,0,0,1,1,2,0,5,43
South Carolina,1997,0,0,0,2,0,4,3,0,0,1,1,6,0,1,18
South Dakota,1997,0,0,0,0,0,2,0,0,0,1,1,1,0,1,6
Tennessee,1997,0,0,3,4,0,3,1,1,0,1,1,5,0,0,19
Texas,1997,0,0,0,1,4,3,0,0,0,0,1,5,0,1,15
Utah,1997,0,0,0,0,0,3,0,1,2,1,0,3,0,3,13
Vermont,1997,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
Virginia,1997,0,0,0,2,0,4,1,0,2,1,1,1,0,3,15
Washington,1997,1,0,0,0,0,4,5,7,0,0,1,2,0,4,24
West Virginia,1997,0,0,0,0,0,3,1,0,0,1,1,1,0,6,13
